                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8454,                 2.2002,                 2.3328,                0.38358,                 0.4632,                0.34952,                0.14963,                 1.9278,                 2.2698,                 2.5058,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.8039,                 2.2111,                 2.2993,                0.33459,                0.48665,                0.33168,                0.15257,                 1.7723,                 2.0888,                 2.3644,              0.0011224,              0.0011224,              0.0011224
                     36,                  1.796,                 2.1623,                 2.2454,                0.38618,                0.50674,                0.38157,                 0.1742,                 1.7663,                 2.0678,                 2.3542,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.8343,                 2.1311,                 2.2899,                0.38181,                0.64527,                0.42331,                0.20375,                 1.6872,                 1.8931,                 2.2655,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.7972,                  2.125,                 2.2951,                0.43482,                0.61594,                0.43098,                0.21256,                 1.6996,                 1.8934,                 2.2936,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.7356,                 2.0404,                 2.2347,                 0.3915,                0.55874,                0.41986,                0.20928,                  1.648,                 1.9318,                 2.2204,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.7835,                 2.0407,                 2.2734,                0.42496,                0.60125,                0.45739,                0.23724,                 1.6972,                 1.8017,                 2.2658,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.7823,                 1.9955,                 2.2355,                0.40751,                0.52298,                0.41602,                0.19362,                 1.8031,                 2.0073,                 2.3643,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.7843,                 2.0684,                 2.2508,                0.45932,                0.46944,                0.42349,                0.21169,                 1.7058,                 2.3921,                 2.3002,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.7273,                 2.0303,                 2.2024,                0.40107,                 0.5519,                0.44504,                0.23295,                 1.6564,                 1.8575,                 2.2437,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.7294,                  2.004,                 2.2192,                 0.4635,                0.61721,                0.50057,                0.25853,                 1.6327,                 1.7857,                  2.202,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.7307,                 1.9529,                 2.2099,                0.49394,                0.53719,                0.49585,                0.24844,                 1.6605,                 1.7915,                 2.3036,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.6972,                 1.9576,                 2.1905,                0.50027,                0.62701,                0.52604,                0.27061,                 1.6551,                 1.7124,                 2.2492,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.7171,                 1.8809,                 2.1768,                0.56854,                0.51442,                0.53392,                  0.284,                 1.6326,                 1.8799,                 2.2101,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.7037,                 1.9694,                 2.2253,                0.55338,                0.55288,                0.51531,                0.26187,                 1.6051,                 1.7641,                 2.2181,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.6775,                 1.9127,                 2.1723,                0.59263,                0.59138,                0.58037,                0.32543,                 1.5267,                 1.6645,                 2.1102,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.6581,                 1.8738,                 2.1354,                0.65615,                0.58612,                0.64434,                0.35801,                 1.5004,                 1.5897,                 2.0722,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.6945,                 1.8646,                 2.1506,                0.63994,                0.60887,                0.62842,                0.34489,                  1.566,                 1.6445,                 2.1219,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.6681,                 1.7975,                 2.1338,                0.65121,                0.52912,                0.60844,                0.33122,                 1.5825,                 1.6907,                 2.1163,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.6223,                 1.8215,                 2.1098,                0.57531,                0.62123,                0.63893,                 0.3654,                 1.5187,                 1.5915,                  2.069,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.6639,                 1.8132,                 2.1427,                0.75575,                0.62926,                 0.7037,                0.40172,                 1.5322,                  1.478,                 2.0908,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.6682,                 1.8269,                 2.1499,                0.71676,                 0.6512,                0.69607,                 0.3887,                 1.5033,                 1.4657,                 2.1049,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.6395,                 1.8038,                 2.1247,                0.73099,                0.63991,                0.71328,                0.39873,                 1.5228,                 1.4949,                 2.0699,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.6149,                  1.754,                 2.0838,                0.74431,                 0.6058,                0.69228,                0.39666,                 1.4577,                 1.4249,                  2.028,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.6293,                 1.7318,                 2.0871,                0.71302,                0.66028,                0.71782,                0.41649,                  1.463,                 1.4446,                  2.033,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.6168,                  1.763,                 2.0989,                 0.7433,                0.62253,                0.70289,                0.41771,                 1.3993,                 1.6407,                  1.963,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.6325,                  1.775,                 2.1036,                0.72871,                0.63107,                0.71956,                0.39632,                 1.5035,                 1.4087,                 2.0752,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5873,                 1.6812,                 2.0732,                0.74132,                0.60486,                 0.7116,                0.42528,                 1.4201,                 1.4647,                 2.0069,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.6495,                 1.7115,                 2.1082,                 0.7283,                0.62881,                0.70151,                0.40453,                 1.4431,                 1.4492,                 2.0364,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.576,                 1.7002,                 2.0556,                0.76577,                 0.6459,                0.74468,                0.44576,                 1.4359,                 1.3246,                 1.9843,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.589,                 1.6946,                 2.0643,                0.75015,                0.67184,                 0.7576,                0.46245,                 1.3728,                 1.3326,                 1.9151,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.599,                 1.6728,                  2.063,                 0.7102,                0.64636,                0.71708,                0.40203,                 1.4426,                 1.4508,                 2.0207,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.5552,                  1.656,                  2.041,                0.77462,                0.66849,                0.74727,                0.44125,                 1.4227,                 1.3814,                 1.9382,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.5448,                 1.6053,                 2.0251,                0.76487,                0.64425,                0.74548,                0.44995,                 1.3879,                 1.3679,                 1.9316,             0.00059429,             0.00059429,             0.00059429
                     68,                  1.557,                 1.5775,                 2.0407,                0.79994,                0.67725,                0.75839,                 0.4663,                 1.3824,                 1.3065,                   1.95,             0.00057778,             0.00057778,             0.00057778
                     69,                  1.524,                 1.6139,                 2.0002,                0.73061,                0.63879,                0.70585,                0.43313,                 1.3621,                 1.4034,                 1.9159,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5867,                 1.6527,                  2.058,                0.70606,                0.62641,                0.71277,                0.41489,                 1.4121,                 1.4271,                 1.9824,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5615,                 1.6521,                 2.0424,                0.81796,                0.64628,                0.76969,                0.49165,                 1.3054,                  1.305,                 1.8648,             0.00052827,             0.00052827,             0.00052827
