                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1104,                 1.2374,                 2.0475,                0.87858,                0.86718,                0.90315,                 0.3525,                 2.0595,                 1.0997,                 2.2463,                0.00439,                0.00439,                0.00439
                     36,                 2.1195,                 1.2437,                 2.0153,                0.81635,                0.77252,                0.84777,                0.31058,                 2.1007,                 1.2494,                 2.2774,               0.004225,               0.004225,               0.004225
                     37,                 2.0741,                 1.2167,                 1.9846,                0.82056,                0.80763,                 0.8609,                0.31729,                  2.088,                 1.2128,                  2.265,                0.00406,                0.00406,                0.00406
                     38,                 2.1212,                 1.2434,                 2.0575,                0.87661,                0.85802,                0.90797,                0.35218,                 1.9952,                 1.1239,                 2.1979,               0.003895,               0.003895,               0.003895
                     39,                 2.1089,                  1.193,                 2.0249,                0.88357,                 0.8458,                0.90592,                0.34921,                  1.989,                 1.1219,                 2.2051,                0.00373,                0.00373,                0.00373
                     40,                 2.0873,                  1.201,                 1.9966,                0.87231,                0.85344,                0.89506,                 0.3491,                 2.0369,                  1.098,                 2.2339,               0.003565,               0.003565,               0.003565
                     41,                 2.1076,                 1.2129,                 2.0513,                0.87198,                0.88388,                0.90781,                0.35537,                 1.9816,                 1.1463,                 2.1902,                 0.0034,                 0.0034,                 0.0034
                     42,                 2.0877,                 1.2017,                  2.008,                0.88127,                0.82724,                0.90402,                0.36378,                 1.9637,                 1.1528,                 2.1767,               0.003235,               0.003235,               0.003235
                     43,                 2.0658,                 1.1947,                 2.0057,                0.86029,                0.83672,                0.90101,                0.36666,                 2.0007,                 1.0896,                 2.2073,                0.00307,                0.00307,                0.00307
                     44,                 2.0728,                 1.1821,                 2.0088,                0.88964,                0.85954,                 0.9136,                0.37715,                 1.9753,                 1.0466,                 2.1893,               0.002905,               0.002905,               0.002905
                     45,                 2.1015,                 1.1537,                 2.0211,                0.84108,                0.83227,                0.87741,                0.34657,                 2.0525,                 1.0551,                 2.2368,                0.00274,                0.00274,                0.00274
                     46,                  2.088,                   1.15,                 2.0399,                0.88163,                 0.8626,                0.91612,                0.37426,                 1.9683,                 1.0459,                 2.1791,               0.002575,               0.002575,               0.002575
                     47,                 2.0804,                 1.1578,                 1.9932,                0.89452,                0.86718,                0.92494,                0.38351,                 1.9294,                 1.0494,                 2.1567,                0.00241,                0.00241,                0.00241
                     48,                 2.0708,                  1.148,                  1.986,                 0.8853,                 0.8602,                0.92336,                0.38511,                 1.9274,                 1.0748,                 2.1595,               0.002245,               0.002245,               0.002245
                     49,                 2.0631,                 1.1243,                 1.9474,                0.87563,                0.84917,                0.91277,                0.38247,                 1.9144,                 1.0502,                 2.1508,                0.00208,                0.00208,                0.00208
                     50,                 2.0468,                 1.1588,                  2.169,                0.86437,                0.76489,                0.86121,                0.35822,                  1.967,                 1.1717,                 2.1806,               0.001915,               0.001915,               0.001915
                     51,                 2.0462,                 1.0762,                 2.1307,                0.88359,                0.86911,                0.92121,                0.38552,                  1.978,                 1.0188,                 2.1779,                0.00175,                0.00175,                0.00175
                     52,                 2.0446,                 1.0612,                 2.1979,                0.90384,                0.89924,                0.94746,                0.39626,                 1.9464,                0.98015,                 2.1594,               0.001585,               0.001585,               0.001585
                     53,                 1.9978,                 1.0453,                 2.1715,                0.88626,                0.86845,                0.91608,                0.39013,                 1.9225,                 1.0329,                 2.1465,                0.00142,                0.00142,                0.00142
                     54,                 1.9898,                  1.051,                 2.1281,                0.89821,                0.90266,                0.93927,                0.40106,                 1.9037,                0.98517,                 2.1346,               0.001255,               0.001255,               0.001255
                     55,                 2.0121,                 1.0344,                 2.1557,                0.89602,                0.89462,                0.92939,                0.39749,                 1.9231,                0.97692,                 2.1496,                0.00109,                0.00109,                0.00109
                     56,                 2.0048,                  1.026,                 2.1325,                0.88503,                0.90534,                0.92679,                0.38523,                 1.9403,                0.99633,                 2.1607,               0.000925,               0.000925,               0.000925
                     57,                 2.0098,                 1.0252,                 2.1343,                 0.9157,                0.91216,                0.95854,                0.41454,                 1.9214,                0.95438,                 2.1421,                0.00076,                0.00076,                0.00076
                     58,                 1.9873,                 1.0124,                  2.114,                0.92039,                0.88255,                0.94992,                0.41012,                 1.9131,                0.95077,                 2.1386,               0.000595,               0.000595,               0.000595
                     59,                 1.9807,                0.99337,                 2.1421,                0.90205,                0.92798,                0.95818,                0.41002,                 1.9187,                 0.9458,                  2.135,                0.00043,                0.00043,                0.00043
