                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9498,                0.56476,                 1.1235,                0.85005,                0.89647,                0.89181,                0.63088,                 1.0903,                0.72211,                  1.185,               0.006634,               0.006634,               0.006634
                     36,                 0.9186,                0.54674,                 1.1111,                0.82467,                0.91783,                0.87366,                0.60575,                 1.1146,                 0.7291,                 1.2056,               0.006535,               0.006535,               0.006535
                     37,                0.98546,                0.60482,                 1.1265,                0.85028,                0.91274,                0.88681,                0.60754,                 1.1134,                0.73744,                 1.2075,               0.006436,               0.006436,               0.006436
                     38,                0.96575,                0.58821,                 1.1266,                0.83325,                0.90195,                0.85753,                 0.5972,                 1.1102,                0.85614,                 1.1891,               0.006337,               0.006337,               0.006337
                     39,                 0.8915,                0.55743,                 1.0867,                0.86106,                0.90756,                 0.8738,                0.59536,                  1.108,                0.71665,                 1.1832,               0.006238,               0.006238,               0.006238
                     40,                0.90627,                0.53783,                 1.1042,                0.87453,                0.91138,                0.90362,                0.62698,                 1.1034,                0.68108,                 1.1871,               0.006139,               0.006139,               0.006139
                     41,                0.92803,                0.52956,                 1.0874,                0.84593,                0.92681,                0.90076,                0.62625,                 1.1367,                 0.7125,                  1.192,                0.00604,                0.00604,                0.00604
                     42,                0.88329,                0.51544,                 1.0722,                0.86256,                0.90481,                0.89045,                0.59786,                 1.1678,                0.72184,                 1.2087,               0.005941,               0.005941,               0.005941
                     43,                 0.9092,                  0.547,                 1.0987,                0.86587,                0.92487,                0.90383,                 0.6232,                  1.091,                 0.6815,                 1.1834,               0.005842,               0.005842,               0.005842
                     44,                  0.894,                0.54727,                 1.0999,                 0.8687,                0.92559,                 0.9166,                0.63938,                 1.0638,                0.68345,                 1.1707,               0.005743,               0.005743,               0.005743
                     45,                0.88222,                0.50581,                  1.088,                0.86276,                0.89767,                0.90375,                0.62542,                 1.1055,                0.70065,                 1.1852,               0.005644,               0.005644,               0.005644
                     46,                 0.8882,                0.50944,                 1.0622,                0.86006,                0.89616,                 0.9029,                0.64065,                 1.1022,                0.71597,                 1.1903,               0.005545,               0.005545,               0.005545
                     47,                0.86564,                0.50279,                 1.0959,                0.86992,                0.91442,                0.89852,                 0.6242,                 1.1263,                  0.696,                 1.2075,               0.005446,               0.005446,               0.005446
                     48,                0.90139,                0.52659,                 1.0911,                0.84161,                 0.9119,                  0.898,                0.62851,                 1.1049,                0.67216,                 1.1845,               0.005347,               0.005347,               0.005347
                     49,                0.86031,                0.51463,                 1.0763,                 0.8547,                0.91891,                0.90478,                 0.6427,                 1.0981,                0.67204,                 1.1745,               0.005248,               0.005248,               0.005248
                     50,                0.84612,                 0.4938,                 1.0442,                0.87174,                0.91232,                0.91216,                0.64974,                 1.0849,                0.65072,                 1.1746,               0.005149,               0.005149,               0.005149
                     51,                0.84054,                0.50637,                 1.0555,                 0.8526,                0.92698,                0.89257,                 0.6219,                 1.1018,                0.66812,                 1.1787,                0.00505,                0.00505,                0.00505
                     52,                0.85729,                0.47889,                 1.0773,                0.86557,                0.90689,                0.86774,                0.61347,                 1.0894,                0.67214,                 1.1918,               0.004951,               0.004951,               0.004951
                     53,                 0.8563,                0.49354,                  1.076,                0.85465,                0.87457,                0.89484,                0.62114,                 1.1302,                0.68151,                 1.2035,               0.004852,               0.004852,               0.004852
                     54,                0.88483,                0.50584,                 1.0868,                0.86374,                0.91505,                0.89289,                0.63285,                 1.0781,                0.66694,                 1.1744,               0.004753,               0.004753,               0.004753
                     55,                0.86635,                0.51637,                 1.0857,                0.85934,                0.91748,                0.90671,                0.63979,                 1.0851,                0.67519,                 1.1765,               0.004654,               0.004654,               0.004654
                     56,                0.84303,                0.48382,                 1.0585,                0.88734,                0.89065,                0.90017,                0.64562,                 1.0686,                0.68073,                 1.1744,               0.004555,               0.004555,               0.004555
                     57,                0.82776,                0.49039,                 1.0454,                0.87297,                0.89635,                0.87868,                0.64051,                 1.0558,                0.68038,                 1.1651,               0.004456,               0.004456,               0.004456
                     58,                0.82577,                0.48291,                 1.0509,                 0.8723,                0.91232,                0.88805,                0.64185,                 1.0884,                 0.6785,                 1.1841,               0.004357,               0.004357,               0.004357
                     59,                0.84175,                0.50018,                 1.0305,                0.86973,                0.91679,                0.88476,                0.63514,                 1.1154,                0.66695,                 1.1785,               0.004258,               0.004258,               0.004258
                     60,                0.86422,                0.47951,                  1.071,                0.88317,                0.91152,                 0.8809,                0.64173,                 1.0923,                0.66121,                 1.1749,               0.004159,               0.004159,               0.004159
                     61,                 0.8206,                 0.4884,                 1.0388,                0.87788,                0.90669,                0.88881,                0.63505,                 1.1067,                0.67239,                 1.1947,                0.00406,                0.00406,                0.00406
