                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85446,                 0.4675,                  1.349,                0.96415,                0.88741,                0.93229,                0.59473,                 1.5032,                0.71258,                 2.0846,               0.003268,               0.003268,               0.003268
                     36,                0.86561,                 0.4596,                  1.317,                0.90938,                0.89322,                0.92855,                0.59506,                 1.5259,                0.71651,                 2.1156,                0.00307,                0.00307,                0.00307
                     37,                0.83701,                0.45179,                 1.3247,                0.91479,                0.90482,                0.93365,                0.57884,                  1.499,                0.70981,                 2.1007,               0.002872,               0.002872,               0.002872
                     38,                0.82668,                0.44989,                 1.3123,                 0.9669,                0.90876,                0.93473,                0.58881,                 1.5215,                0.67366,                 2.0961,               0.002674,               0.002674,               0.002674
                     39,                 0.8037,                0.42453,                 1.2932,                0.96657,                0.90144,                0.93979,                0.60262,                  1.503,                0.67187,                 2.1167,               0.002476,               0.002476,               0.002476
                     40,                0.90963,                0.46709,                 1.4584,                0.95962,                0.90837,                0.92847,                0.59064,                  1.517,                 0.6882,                 2.1456,               0.002278,               0.002278,               0.002278
                     41,                0.85452,                0.42118,                 1.4071,                0.94471,                0.90546,                0.91683,                0.59165,                 1.5342,                0.67614,                 2.1819,                0.00208,                0.00208,                0.00208
                     42,                0.84677,                 0.4176,                 1.4019,                0.96405,                0.90956,                0.93027,                0.58745,                 1.5367,                 0.6741,                 2.1936,               0.001882,               0.001882,               0.001882
                     43,                 0.8287,                0.40661,                 1.3512,                0.95322,                0.90513,                0.93747,                 0.5845,                 1.5223,                0.67707,                 2.1469,               0.001684,               0.001684,               0.001684
                     44,                0.79343,                 0.3955,                 1.3453,                0.96015,                0.91608,                0.94138,                0.59891,                 1.5228,                0.67794,                  2.191,               0.001486,               0.001486,               0.001486
                     45,                 0.7795,                0.39132,                 1.3303,                 0.9626,                0.90956,                0.94578,                0.60022,                 1.5259,                0.68122,                 2.2067,               0.001288,               0.001288,               0.001288
                     46,                0.76665,                0.37584,                 1.3044,                0.94591,                0.90629,                0.92875,                0.60154,                 1.5122,                0.68076,                   2.18,                0.00109,                0.00109,                0.00109
                     47,                 0.7395,                 0.3744,                 1.3155,                0.95662,                0.90241,                0.92696,                0.61038,                 1.5015,                0.66918,                 2.1824,               0.000892,               0.000892,               0.000892
                     48,                0.73546,                0.36923,                 1.2879,                0.96787,                0.90629,                0.94824,                0.61127,                 1.5068,                0.67932,                 2.1858,               0.000694,               0.000694,               0.000694
                     49,                0.72639,                0.36319,                 1.2771,                 0.9565,                 0.9156,                0.94728,                0.60311,                 1.5281,                0.68806,                 2.2256,               0.000496,               0.000496,               0.000496
